Cuisines,Aggregate rating
"Cafe, Italian, Continental, Mexican, Mediterranean",3.6
"Cafe, Italian, Desserts",4.1
"Cafe, Italian, Desserts, Fast Food, Chinese, Tea",3.925
"Cafe, Italian, European, Bakery",4.1
"Cafe, Italian, Fast Food",3.9
"Cafe, Italian, Japanese, Continental",4.2
"Cafe, Italian, Lebanese",3.433333333
"Cafe, Italian, Lebanese, Continental, Mediterranean",4.1
"Cafe, Italian, Mexican, Bakery",4.1
"Cafe, Italian, Mexican, Chinese",3.9
"Cafe, Italian, Mexican, Chinese, North Indian",3.3
"Cafe, Italian, Mexican, Continental",4.1
"Cafe, Italian, Mexican, North Indian, Continental",3.9
"Cafe, Italian, Mexican, Salad, Desserts",3.4
"Cafe, Italian, North Indian",3.6
"Cafe, Italian, Pizza",3.7
"Cafe, Italian, Pizza, European, Bakery, Deli",3.9
"Cafe, Italian, Salad",2.6
"Cafe, Kiwi",4.3
"Cafe, Kiwi, Ice Cream, Desserts",4
"Cafe, Korean",3.6
"Cafe, Korean, Desserts",4.5
"Cafe, Lebanese, Italian",3.8
"Cafe, Mediterranean",4.1
"Cafe, Mexican",2.1
"Cafe, Mexican, American, Italian, Lebanese, Continental",4.3
"Cafe, Mexican, Continental",0
"Cafe, Mexican, Italian, Continental",4.3
"Cafe, Mexican, Italian, Fast Food",3.8
"Cafe, Mexican, Italian, North Indian, Chinese",3.8
"Cafe, Mexican, Italian, North Indian, Fast Food",4.2
"Cafe, Mughlai, North Indian",3.2
"Cafe, North Eastern",0
"Cafe, North Indian",4
"Cafe, North Indian, Chinese",3.644444444
"Cafe, North Indian, Chinese, Continental",3.35
"Cafe, North Indian, Chinese, South Indian",3.2
"Cafe, North Indian, Continental",1.966666667
"Cafe, North Indian, Continental, Chinese",3.7
"Cafe, North Indian, Continental, Italian",3.7
"Cafe, North Indian, Fast Food",3.05
"Cafe, North Indian, Italian",3.9
"Cafe, North Indian, Italian, Chinese",2.8
"Cafe, North Indian, Italian, Japanese, Fast Food",3.6
"Cafe, North Indian, Lebanese, Continental",3.5
"Cafe, Patisserie",4.1
"Cafe, Patisserie, Bakery, Desserts",4.4
"Cafe, Pizza",3.5
"Cafe, Pizza, Burger",4
"Cafe, Pizza, Italian",3.8
"Cafe, Sandwich, Southern",4.3
"Cafe, South Indian, North Indian, Bakery",3.5
"Cafe, Spanish, Turkish, Greek",3.2
"Cafe, Sri Lankan, Continental, American",4
"Cafe, Street Food",3.2
"Cafe, Tapas, South African, Beverages, Healthy Food, Desserts, Spanish",4.5
"Cafe, Tea",3.375
"Cafe, Tea, Desserts",3.6
"Cafe, Tibetan",0
"Cafe, Western",4.3
Cajun,4.7
Caribbean,4.3
"Caribbean, Mexican, Cajun",3.8
"Caribbean, Seafood",4.3
"Caribbean, Seafood, Steak",3.5
"Charcoal Grill, Italian, North Indian, European, Indonesian, Thai",4.4
Chinese,2.042090395
"Chinese, Asian",3.625
"Chinese, Asian, Mediterranean, Continental",3.9
"Chinese, Asian, Thai",3.76
"Chinese, Assamese",3.3
"Chinese, Bakery",1.65
"Chinese, Beverages",3.35
"Chinese, Biryani, North Indian",3
"Chinese, Cafe",2.8
"Chinese, Cafe, Fast Food",3.2
"Chinese, Cafe, North Indian, Desserts",3.9
"Chinese, Canadian",3
"Chinese, Continental",3.7
"Chinese, Continental, Italian, North Indian",3.1
"Chinese, Continental, Mexican",2.8
"Chinese, Continental, North Indian",2.85
"Chinese, Continental, North Indian, Mexican",4.1
"Chinese, Continental, North Indian, Mughlai",3.7
"Chinese, Continental, Singaporean",3.4
"Chinese, Continental, Thai",3.2
"Chinese, Dim Sum",4.75
"Chinese, Fast Food",2.055084746
"Chinese, Fast Food, Bakery",1.45
"Chinese, Fast Food, Ice Cream",3.3
"Chinese, Fast Food, North Indian",1.516666667
"Chinese, Fast Food, North Indian, South Indian",3.4
"Chinese, Fast Food, North Indian, South Indian, Street Food, Mithai",2.4
"Chinese, Fast Food, Pizza",0
"Chinese, Healthy Food",2.8
"Chinese, Indian",0
"Chinese, Italian",0
"Chinese, Italian, Continental",3.1
"Chinese, Italian, Continental, North Indian",3.9
"Chinese, Italian, Fast Food",3.066666667
"Chinese, Italian, North Indian",3.65
"Chinese, Italian, North Indian, Mexican, Mediterranean, Thai",4.2
"Chinese, Japanese",3.4
"Chinese, Japanese, Italian, Seafood",3.5
"Chinese, Japanese, Korean, Asian",4
"Chinese, Japanese, Sushi",4.5
"Chinese, Japanese, Thai",3.5
"Chinese, Japanese, Thai, Asian",3.5
"Chinese, Japanese, Thai, Malaysian, Vietnamese, Asian",3.6
"Chinese, Lucknowi",0
"Chinese, Mangalorean",3.7
"Chinese, Mexican, Fast Food, Continental",3
"Chinese, Mexican, Italian",3
"Chinese, Mithai",0
"Chinese, Mughlai",3.3
"Chinese, Mughlai, North Indian",2.090909091
"Chinese, Naga",3.7
"Chinese, North Eastern",0
"Chinese, North Indian",1.903809524
"Chinese, North Indian, Cafe",3.7
"Chinese, North Indian, Continental",3.6
